"ID","","","","","","","",""
"edaa0137-c0ef-4501-a29d-a5779e23baaa","Multi-Factor Authentication","Technical skills","IT Security, Cyber Security, Enterprise Architecture","Demonstrated ability to provide technical advice on multi-factor authentication solutions for digital products and services, using approaches that demonstrate awareness of security considerations, user experience, enterprise direction and modern approaches to user flows. This includes activities such as supporting the creation of architectures, frameworks, policies, and procedures, as well as overseeing the technical implementation.","Authentification multifacteur","Compétences techniques","Sécurité informatique, Cybersécurité, Architecture intégrée","Capacité démontrée à fournir des conseils techniques sur les solutions d'authentification multifacteur pour les produits et services numériques, en utilisant des approches qui démontrent une prise en compte des considérations de sécurité, de l'expérience utilisateur, de l'orientation de l'entreprise et des approches modernes des flux d'utilisateurs. Cela comprend des activités telles que le soutien à la création d'architectures, de cadres, de politiques et de procédures, ainsi que la supervision de la mise en œuvre technique."
"e27872e6-d862-4d75-aea7-4e31f5da4a7e","PowerBuilder","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to draw on concrete knowledge of this tool to create cloud-based Windows applications and components.","PowerBuilder","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à s’appuyer sur des connaissances concrètes de cet outil pour créer des applications et des composants Windows basés sur le cloud."
"47fe8109-7a6d-44f4-b45d-fdca2e5d72bd","Data Ethics and Privacy","Technical skills","Data Services - Data Analytics, Data Services - Data Systems Operations","Demonstrated ability to ensure ethical practices in acquiring, using, interpreting and sharing data across the data lifecycle as well as proactively identify ethical issues, privacy implications and barriers to data accessibility and identify indicators of bias to prevent the reinforcement of unintended biases within policies, programs, products, or services.","Éthique des données et protection des renseignements personnels","Compétences techniques","Services de données - Analyse de données, Services de données - Opérations des systèmes de données","Capacité démontrée à garantir des pratiques éthiques dans l’acquisition, l’utilisation, l’interprétation et le partage des données tout au long de leur cycle de vie, ainsi qu’à identifier de manière proactive les questions éthiques, les implications en matière de respect de la vie privée et les obstacles à l’accessibilité des données, et à identifier les indicateurs de partialité afin d’éviter le renforcement de préjugés involontaires dans les politiques, les programmes, les produits ou les services."
"af614799-5f73-4c4f-8c69-a91edb58a86a","Data Quality Assurance, Validation and Linkage","Technical skills","Data Services - Data Analytics","Demonstrated ability to identify appropriate methods for collecting, collating, and preparing data, ensuring they are fit for purpose, assess data sources to determine their accuracy and suitability in meeting organizational needs, while identifying and rectifying errors, and adhere to organizational policies, procedures, and standards to ensure the acquisition of high-quality data.","Validation, couplage et assurance de la qualité des données","Compétences techniques","Services de données - Analyse de données","Capacité démontrée à identifier les méthodes appropriées pour collecter, rassembler et préparer les données, en s’assurant qu’elles sont adaptées à l’objectif visé, à évaluer les sources de données pour déterminer leur exactitude et leur adéquation aux besoins de l’organisation, tout en identifiant et en rectifiant les erreurs, et à respecter les politiques, procédures et normes de l’organisation pour garantir l’acquisition de données de haute qualité."
"8921c4a0-fb33-4834-acba-e2b93bb176df","Artificial Intelligence System Operations","Technical skills","Data Services - Data Science","Demonstrated ability to manage the operational aspects of artificial intelligence systems for effective performance and reliability. This may include automation software development, ensuring system availability, or overseeing deployment processes.","Opérations du système d’intelligence artificielle","Compétences techniques","Services de données - Science des données","Capacité démontrée à gérer les aspects opérationnels des systèmes d'intelligence artificielle pour assurer des performances et une fiabilité efficaces. Cela peut inclure le développement de logiciels d'automatisation, l'assurance de la disponibilité des systèmes ou la supervision des processus de déploiement."
"926ebd3e-e3e6-4185-b235-7365622be205","Electronic Signature","Technical skills","IT Security, Cyber Security","Demonstrated ability to provide advice on the establishment of electronic signature functionality for digital products and services, demonstrating awareness of technical, legal and security-related considerations.","Signature électronique","Compétences techniques","Sécurité informatique, Cybersécurité","Capacité démontrée à fournir des conseils sur la mise en place d'une fonctionnalité de signature électronique pour les produits et services numériques, démontrant une connaissance des considérations techniques, juridiques et liées à la sécurité."
"ec43a31b-c07e-4eea-a431-ea6e7509a733","Human Resources Supervision","Technical skills","Financial Management, Leadership - General Technical Skills","Demonstrated ability to supervise employees or contractors, including working with management to set work plans, overseeing the completion of tasks, monitoring performance, supporting learning objectives, and mentoring","Supervision des ressources humaines","Compétences techniques","Gestion financière, Leadership - Compétences techniques générales","Capacité démontrée à superviser des employés ou des entrepreneurs, notamment en travaillant avec la direction pour établir des plans de travail, en supervisant l'exécution des tâches, en surveillant les performances, en soutenant les objectifs d'apprentissage et en faisant du mentorat"
"f5ad9a3e-9787-4a95-ac42-f44413948ee6","Briefing Management","Technical skills","Leadership - General Technical Skills","Demonstrated ability to manage taskings on topic and on time by preparing briefing material, and providing written or verbal briefings and advice to mid-level and immediate management levels.","Breffage de la gestion","Compétences techniques","Leadership - Compétences techniques générales","Capacité démontrée à gérer les tâches en fonction du sujet et dans les délais impartis en préparant des documents d’information et en fournissant des exposés et des conseils écrits ou verbaux aux niveaux intermédiaires et immédiats de la direction."
"cbf23748-88a8-4743-a0fd-a71ef4350aee","Advice to Senior Management","Technical skills","Leadership - Executive Technical Skills","Demonstrated ability to provide oral and written briefings and strategic advice to senior management on complex and significant topics, as well as presentations to senior management committees. Senior management is defined as those in the top two layers of an organization (e.g. Deputy Minister, Assistant Deputy Minister, Chief Information Officer, Chief Executive Officer, President, Vice-President).","Conseils à la haute direction","Compétences techniques","Leadership - Compétences techniques des cadres","Capacité démontrée à fournir des exposés oraux et écrits et des conseils stratégiques à la haute direction sur des sujets complexes et importants, ainsi que des présentations aux comités de haute direction. La haute direction est définie comme étant celle des deux niveaux supérieurs d'une organisation (par exemple, sous-ministre, sous-ministre adjoint, dirigeant principal de l'information, directeur général, président, vice-président)."
"6dac2345-75c7-4d9e-a457-e79eccc9cc63","Information Requests - Analysis","Technical skills","Access to Information and Privacy","Demonstrated ability to analyze and interpret access to information (ATI), freedom of information (FOI) or personal information (Privacy) requests","Demandes d'information - Analyse","Compétences techniques","Accès à l’information et de la protection des renseignements personnels","Capacité démontrée à analyser et à interpréter les demandes d'accès à l'information (AAI), d'accès à l'information (AAI) ou de renseignements personnels (confidentialité)"
"80fe1154-4a2f-404f-8d8c-93769bb160b3","Development and Delivery of Training Sessions","Technical skills","Access to Information and Privacy","Demonstrated ability to develop educational content on work-related processes and procedures, and effectively present it to audiences in an engaging and educational manner.","Développement et prestation de sessions de formation","Compétences techniques","Accès à l’information et de la protection des renseignements personnels","Capacité démontrée à développer du contenu éducatif sur les processus et procédures liés au travail, et à le présenter efficacement au public de manière engageante et éducative."
"2c210798-b3f5-462a-afe8-6cf920d1d205","C++","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to apply concrete knowledge of this language to develop a variety of projects.","C++","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à appliquer des connaissances concrètes de cette langue pour développer une variété de projets."
"7e9bfeb9-c560-427c-a834-3a43106d34c3","Government and Department Policies and Standards","Technical skills","Working in Government, Digital Project Portfolio Management","Demonstrated knowledge of and experience developing government or departmental policies, procedures, or guidelines.","Politiques et normes du gouvernement et des ministères","Compétences techniques","Travailler au sein du gouvernement, Gestion de portefeuille de projets numériques","Connaissance et expérience démontrées de l’élaboration de politiques, de procédures ou de lignes directrices gouvernementales ou ministérielles."
"312ad1db-75a6-49ba-ba01-3442cfbc75e2","Power Platform","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to use this low code tool to support projects that leverage Microsoft tools such as Power Pages, Power BI, Power Apps, Power Automate, and Power Virtual Agents.","Power Platform","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à utiliser cet outil low code pour prendre en charge des projets qui exploitent les outils Microsoft tels que Power Pages, Power BI, Power Apps, Power Automate et Power Virtual Agents."
"6f7c26d0-f4a5-4929-9677-44e39e22c757","Executive Leadership of Enterprise Architecture","Technical skills","Leadership - Executive Technical Skills","Demonstrated ability at the executive level to lead Enterprise Architecture initiatives, which may include setting vision and direction, directing implementation and operations, and ensuring delivery of results","Leadership exécutif de l'architecture intégrée de la numérique","Compétences techniques","Leadership - Compétences techniques des cadres","Capacité démontrée au niveau de la direction à diriger des initiatives d'architecture intégrée de la numérique, ce qui peut inclure la définition d'une vision et d'une orientation, la direction de la mise en œuvre et des opérations et la garantie de l'obtention des résultats"
"ea584c48-a579-4d0b-b464-22e688e29d11","Information Requests - Reviewing","Technical skills","Access to Information and Privacy","Demonstrated ability to conduct quality reviews of sensitive and complex access to information (ATI), freedom of information (FOI) or personal information (Privacy) requests.","Demandes d'informations - Examen","Compétences techniques","Accès à l’information et de la protection des renseignements personnels","Capacité démontrée à effectuer des examens de qualité de demandes sensibles et complexes d’accès à l’information (ATI), d’accès à l’information (FOI) ou de renseignements personnels (confidentialité)."
"9c8affde-de7c-4e83-bd86-1ed5cf18c135","Identity, Credential and Access Management","Technical skills","IT Infrastructure Operations, IT Security, Cyber Security, Enterprise Architecture","Demonstrated ability to work with (and provide advice on) the establishment, management, and integration of digital identity, digital credentials and access management into digital products and services.  This includes demonstrating awareness of security considerations, user experience, enterprise direction and modern approaches to user flows. It also includes undertaking activities such as technical implementation and supporting the creation of architectures, requirements, frameworks, policies, and procedures.","Gestion des identités, des informations d'identification et des accès","Compétences techniques","Opérations d'infrastructure informatique, Sécurité informatique, Cybersécurité, Architecture intégrée","Capacité démontrée à travailler (et à fournir des conseils sur) l'établissement, la gestion et l'intégration de l'identité numérique, des informations d'identification numériques et de la gestion des accès dans les produits et services numériques. Cela implique de démontrer une prise de conscience des considérations de sécurité, de l'expérience utilisateur, de l'orientation de l'entreprise et des approches modernes des flux d'utilisateurs. Cela comprend également la réalisation d'activités telles que la mise en œuvre technique et le soutien à la création d'architectures, d'exigences, de cadres, de politiques et de procédures."
"2b060d0c-67ea-489a-851a-4bf4c1577153","Human Resources Management","Technical skills","Financial Management, Leadership - General Technical Skills","Demonstrated ability (at a non-executive level) to manage teams, contractors, and employees, including: assigning work, establishing performance objectives and indicators, developing resourcing plans, determining needs and approving training","Gestion des ressources humaines","Compétences techniques","Gestion financière, Leadership - Compétences techniques générales","Capacité démontrée (à un niveau non exécutif) à gérer des équipes, des sous-traitants et des employés, notamment : attribuer du travail, établir des objectifs et des indicateurs de performance, élaborer des plans de ressources, déterminer les besoins et approuver la formation"
"45507d73-84ef-433c-bfc9-422e3a9a4282","Handling of Personal Information Sharing Agreements","Technical skills","Access to Information and Privacy","Demonstrated ability to work on information sharing agreements involving personal information, including facilitating the legal and ethical exchange of personal data while ensuring privacy compliance and data security.","Traitement des accords de partage d’informations personnelles","Compétences techniques","Accès à l’information et de la protection des renseignements personnels","Capacité démontrée à travailler sur des accords de partage d'informations impliquant des informations personnelles, notamment en facilitant l'échange légal et éthique de données personnelles tout en garantissant le respect de la confidentialité et la sécurité des données."
"2c2a7b58-8a61-49b4-af13-91a1ef89f236","Conducting Privacy Impact Assessments","Technical skills","Access to Information and Privacy","Demonstrated ability to assess and ensure compliance with data privacy regulations requiring expertise in legal frameworks, risk analysis and effective communication.","Réalisation d’évaluations des facteurs relatifs à la vie privée","Compétences techniques","Accès à l’information et de la protection des renseignements personnels","Capacité démontrée à évaluer et à assurer la conformité aux réglementations en matière de confidentialité des données, ce qui nécessite une expertise dans les cadres juridiques, l’analyse des risques et une communication efficace."
"1ea5d890-e5f1-4436-ae80-5ff69e11faa3","COBOL","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to apply concrete knowledge of this language to develop a variety of projects.","COBOL","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à appliquer des connaissances concrètes de cette langue pour développer une variété de projets."
"a91bd7a1-5399-40f9-be13-54f35fcf8a25","Docker","Technical skills","Programming Languages, Frameworks, and Tools","Demonstrated ability to leverage platform features to develop and manage applications, including demonstrated knowledge of best practice for using containers and security features.","Docker","Compétences techniques","Langages de programmation, frameworks et outils","Capacité démontrée à tirer parti des fonctionnalités de la plateforme pour développer et gérer des applications, y compris une connaissance avérée des meilleures pratiques d’utilisation des conteneurs et des fonctionnalités de sécurité."
"f7795cae-12fb-4ae8-b421-1fc02093580e","Research and Analysis","Technical skills","Information and Data Governance - Operations, Access to Information and Privacy","Demonstrated ability to research and analyze documents or case law in order to prepare recommendations.","Recherche et analyse","Compétences techniques","Gouvernance de l'information et des données - Opérations, Accès à l’information et de la protection des renseignements personnels","Capacité démontrée à rechercher et analyser des documents ou de la jurisprudence afin de préparer des recommandations."
"4a778670-0f72-46f5-850f-bee2b6ea74d1","Data Systems","Technical skills","Data Services - Data Systems Operations","Demonstrated ability to use tools, software, platforms, or processes to design and deliver data systems into the organisation effectively and in alignment with organizational needs.","Systèmes de données","Compétences techniques","Services de données - Opérations des systèmes de données","Capacité démontrée à utiliser des outils, des logiciels, des plateformes ou des processus pour concevoir et mettre en place des systèmes de données au sein de l’organisation de manière efficace et en conformité avec les besoins de l’organisation."
"4390a8d1-9b4d-463b-8f17-83deb4b29920","Process Monitoring","Technical skills","Access to Information and Privacy","Demonstrated ability to understand and follow procedural steps. This includes updating and monitoring procedures, processes, and tools.","Surveillance des processus","Compétences techniques","Accès à l’information et de la protection des renseignements personnels","Capacité démontrée à comprendre et à suivre les étapes d'une procédure. Cela inclut la mise à jour et le suivi des procédures, des processus et des outils."
"c9bc8254-a44d-4b60-b45f-ce75e2cd7b24","Information Management and Document Handling","Technical skills","Access to Information and Privacy","Demonstrated ability to follow document handling and information management procedures in a professional environment as part of a service or business function.","Gestion de l’information et traitement des documents","Compétences techniques","Accès à l’information et de la protection des renseignements personnels","Capacité manifeste à suivre les procédures de traitement des documents et de gestion de l’information dans un environnement professionnel, dans le contexte d’un service ou d’une fonction opérationnelle."
"d31ab72b-2883-48dc-9f7b-6567783f233c","Human Resources Administration","Technical skills","Financial Management, Leadership - General Technical Skills","Demonstrated ability to navigate and handle HR-related tasks, documentation and processes and familiarity with HR terminology.","Administration des ressources humaines","Compétences techniques","Gestion financière, Leadership - Compétences techniques générales","Capacité démontrée à naviguer et à gérer les tâches, la documentation et les processus liés aux RH et connaissance de la terminologie des RH."
